ts,tsIso,elapsedSec,eventType,participantCode,role,msg
1779756672732,2026-05-26T00:51:12.732000+00:00,0.0,INCIDENT_RESET,,,Incident reset
1779756675601,2026-05-26T00:51:15.601000+00:00,2.869,PATIENT_SOS,P001,PATIENT,Patient SOS alerting started (P001)
1779756680634,2026-05-26T00:51:20.634000+00:00,7.902,PATIENT_SOS,P001,PATIENT,Patient SOS confirmed (P001)
1779756680649,2026-05-26T00:51:20.649000+00:00,7.917,PATIENT_SOS,P001,PATIENT,Patient designated by patient SOS (P001)
1779756680649,2026-05-26T00:51:20.649000+00:00,7.917,DISPATCH_STARTED,,,AI dispatching started
1779756681040,2026-05-26T00:51:21.040000+00:00,8.308,ROLE_JOINED,R001-PRIME,PRIME,PRIME joined (R001-PRIME)
1779756681412,2026-05-26T00:51:21.412000+00:00,8.68,ROLE_ASSIGNED,R001-PRIME,PRIME,PRIME assigned (R001-PRIME) via fallback
1779756681426,2026-05-26T00:51:21.426000+00:00,8.694,ROLE_ASSIGNED,R002-RUNNER,RUNNER,RUNNER assigned (R002-RUNNER) via fallback
1779756681438,2026-05-26T00:51:21.438000+00:00,8.706,ROLE_ASSIGNED,R003-GUIDE,GUIDE,GUIDE assigned (R003-GUIDE) via fallback
1779756682919,2026-05-26T00:51:22.919000+00:00,10.187,CPR_STARTED,R001-PRIME,PRIME,CPR started by R001-PRIME
1779756686949,2026-05-26T00:51:26.949000+00:00,14.217,AED_PICKED,R002-RUNNER,RUNNER,AED picked by R002-RUNNER
1779756689537,2026-05-26T00:51:29.537000+00:00,16.805,AED_DELIVERED,R002-RUNNER,RUNNER,AED delivered by R002-RUNNER
1779756692341,2026-05-26T00:51:32.341000+00:00,19.609,AMBULANCE_ARRIVED,R003-GUIDE,GUIDE,Ambulance arrived (reported by R003-GUIDE)
1779756693004,2026-05-26T00:51:33.004000+00:00,20.272,AED_ANALYSIS_STARTED,R001-PRIME,PRIME,AED analysis started by R001-PRIME
1779756694792,2026-05-26T00:51:34.792000+00:00,22.06,AED_SHOCK_DELIVERED,R001-PRIME,PRIME,AED shock delivered by R001-PRIME
