ts,tsIso,elapsedSec,eventType,participantCode,role,msg
1779769133686,2026-05-26T04:18:53.686000+00:00,0.0,INCIDENT_CREATED,,,Incident created
1779769134186,2026-05-26T04:18:54.186000+00:00,0.5,AED_SITE_UPDATED,,,AED site updated (二楼服务台 AED)
1779769134306,2026-05-26T04:18:54.306000+00:00,0.62,AED_SITE_UPDATED,,,AED site updated (校门值班室 AED)
1779769134686,2026-05-26T04:18:54.686000+00:00,1.0,DEMO_BOOTSTRAPPED,,,Demo scenario bootstrapped
1779769137686,2026-05-26T04:18:57.686000+00:00,4.0,PATIENT_DESIGNATED,P001,PATIENT,Patient designated by dashboard (P001)
1779769137936,2026-05-26T04:18:57.936000+00:00,4.25,DISPATCH_STARTED,,,AI dispatching started
1779769143466,2026-05-26T04:19:03.466000+00:00,9.78,ROLE_ASSIGNED,R004-PRIME,PRIME,PRIME assigned (R004-PRIME) via fallback
1779769143576,2026-05-26T04:19:03.576000+00:00,9.89,ROLE_ASSIGNED,R002-RUNNER,RUNNER,RUNNER assigned (R002-RUNNER) via fallback
1779769143686,2026-05-26T04:19:03.686000+00:00,10.0,ROLE_ASSIGNED,R003-GUIDE,GUIDE,GUIDE assigned (R003-GUIDE) via fallback
1779769164686,2026-05-26T04:19:24.686000+00:00,31.0,CPR_STARTED,R004-PRIME,PRIME,CPR started by R004-PRIME
1779769192686,2026-05-26T04:19:52.686000+00:00,59.0,AED_PICKED,R002-RUNNER,RUNNER,AED picked by R002-RUNNER
1779769231686,2026-05-26T04:20:31.686000+00:00,98.0,AED_DELIVERED,R002-RUNNER,RUNNER,AED delivered by R002-RUNNER
1779769240686,2026-05-26T04:20:40.686000+00:00,107.0,AED_ANALYSIS_STARTED,R004-PRIME,PRIME,AED analysis started by R004-PRIME
1779769283686,2026-05-26T04:21:23.686000+00:00,150.0,AMBULANCE_ARRIVED,R003-GUIDE,GUIDE,Ambulance arrived (reported by R003-GUIDE)
1779769315686,2026-05-26T04:21:55.686000+00:00,182.0,HANDOVER_COMPLETED,R003-GUIDE,GUIDE,Handover completed by R003-GUIDE
