轮次编号,事件编号,item,systemValue,observerValue,评分1to5,备注
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,round_id,,R002,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,scenario_位置,,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,observer_名称,,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,trigger_to_dispatch_seconds,4,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,trigger_to_first_responder_response_seconds,13,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,trigger_to_cpr_seconds,13,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,trigger_to_aed_pickup_seconds,31,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,trigger_to_aed_delivery_seconds,63,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,trigger_to_ambulance_handover_seconds,116,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,角色_assignment_clarity,,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,task_instruction_clarity,,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,stress_scenario_operability,,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,dispatch_reasonableness,,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,aed_位置_prompt_usefulness,,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,data_record_completeness,,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,observed_blocking_step,,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,unsafe_or_misleading_copy,,,,
R002,1336423b-d296-46a9-a3f9-9f0a7fa16e34,participant_open_feedback,,,,
