轮次编号,事件编号,item,systemValue,observerValue,评分1to5,备注
R004,0a4df7a4-d506-420e-975f-f936735222c2,round_id,,R004,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,scenario_位置,,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,observer_名称,,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,trigger_to_dispatch_seconds,6,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,trigger_to_first_responder_response_seconds,27,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,trigger_to_cpr_seconds,27,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,trigger_to_aed_pickup_seconds,55,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,trigger_to_aed_delivery_seconds,94,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,trigger_to_ambulance_handover_seconds,146,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,角色_assignment_clarity,,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,task_instruction_clarity,,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,stress_scenario_operability,,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,dispatch_reasonableness,,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,aed_位置_prompt_usefulness,,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,data_record_completeness,,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,observed_blocking_step,,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,unsafe_or_misleading_copy,,,,
R004,0a4df7a4-d506-420e-975f-f936735222c2,participant_open_feedback,,,,
