指标分组,指标键,指标名称,单位,有效轮次数,均值,中位数,最小值,最大值,图表建议,PPT使用边界
time,触发到分派完成秒数,T1 触发到分派完成,seconds,5,5,5,4,6,时间指标,仅用于描述性预实验
time,触发到核心施救响应秒数,T2 触发到核心施救响应,seconds,5,18.80,18,13,27,时间指标,仅用于描述性预实验
time,触发到CPR开始秒数,T3 触发到 CPR 开始,seconds,5,18.80,18,13,27,时间指标,仅用于描述性预实验
time,触发到AED取到秒数,T4 触发到 AED 取到,seconds,5,41,40,31,55,时间指标,仅用于描述性预实验
time,触发到AED送达秒数,T5 触发到 AED 送达,seconds,5,83,82,63,98,时间指标,仅用于描述性预实验
time,触发到救护接管秒数,T6 触发到救护接管,seconds,5,120.40,126,83,146,时间指标,仅用于描述性预实验
coverage,角色分派完整度,角色分派完整度,percent,5,100,100,100,100,覆盖率与完整度,仅用于描述性预实验
coverage,定位覆盖率,定位覆盖率,percent,5,100,100,100,100,覆盖率与完整度,仅用于描述性预实验
coverage,健康摘要覆盖率,健康摘要覆盖率,percent,5,100,100,100,100,覆盖率与完整度,仅用于描述性预实验
quality,质量分,质量分,评分,5,97,97,97,97,证据质量,仅用于描述性预实验
quality,严重问题数,严重 问题数,count,5,0,0,0,0,证据质量,仅用于描述性预实验
quality,警告问题数,警告 问题数,count,5,0,0,0,0,证据质量,仅用于描述性预实验
quality,缺失关键节点数,缺失关键节点数,count,5,0,0,0,0,证据质量,仅用于描述性预实验
context,参与终端数,参与终端数,count,5,4,4,4,4,场景上下文,仅用于描述性预实验
context,AED点位数,AED 点位数,count,5,2,2,2,2,场景上下文,仅用于描述性预实验
context,可用AED点位数,可用 AED 点位数,count,5,2,2,2,2,场景上下文,仅用于描述性预实验
context,AED保障路线距离米,AED 保障路线距离,meters,5,41.60,41.60,41.60,41.60,场景上下文,仅用于描述性预实验
