轮次编号,事件编号,item,systemValue,observerValue,评分1to5,备注
R005,11a8d320-52b6-422e-b673-ce016679008d,round_id,,R005,,
R005,11a8d320-52b6-422e-b673-ce016679008d,scenario_位置,,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,observer_名称,,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,trigger_to_dispatch_seconds,5,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,trigger_to_first_responder_response_seconds,20,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,trigger_to_cpr_seconds,20,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,trigger_to_aed_pickup_seconds,40,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,trigger_to_aed_delivery_seconds,82,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,trigger_to_ambulance_handover_seconds,131,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,角色_assignment_clarity,,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,task_instruction_clarity,,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,stress_scenario_operability,,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,dispatch_reasonableness,,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,aed_位置_prompt_usefulness,,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,data_record_completeness,,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,observed_blocking_step,,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,unsafe_or_misleading_copy,,,,
R005,11a8d320-52b6-422e-b673-ce016679008d,participant_open_feedback,,,,
